acl 2.2.53-3
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xorgproto 2020.1-1
xterm 356-1
xvidcore 1.3.7-2
xwallpaper 0.6.5-1
xxhash 0.7.3-1
xz 5.2.5-1
yay 9.4.7-1
youtube-dl 2020.06.16.1-1
zathura 0.4.5-1
zathura-djvu 0.2.9-1
zathura-pdf-poppler 0.3.0-1
zathura-ps 0.2.6-2
zeromq 4.3.2-1
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.6.2-3
zlib 1:1.2.11-4
zstd 1.4.5-1
